"search-number","evaluation","evals-requested-so-far","scale*","init-percent-schizophrenia-inherited*","init-percent-schizophrenia-exhibited*","schizophrenia-inherit-threshold*","schizophrenia-via-social-interaction-threshold*","schizophrenia-exhibit-inherited-threshold*","schizophrenia-exhibit-uninherited-threshold*","stop-year*","stress-start-year*","stress-start-month*","stress-end-year*","stress-end-month*","inheretence-augmentation-by-shock*","use-stress?*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","332","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""-1295955167""","5.559999999999274E13","1.023988281182832E14","8.742999637195781E13","1.1910510067837938E13","1.023988281182832E14"
"1","333","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""-1091679367""","5.329999999999274E13","9.872669345216517E13","8.40670842588051E13","1.0191268807701562E13","9.837443773662852E13"
"1","334","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""452824389""","5.149999999999274E13","9.816934348358355E13","8.283265141253183E13","1.1433601804300283E13","9.816934348358355E13"
"1","335","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""-1615924636""","5.479999999999274E13","9.805437267148167E13","8.36836153380932E13","1.0635411551992562E13","9.805437267148167E13"
"1","336","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""361831671""","5.689999999999274E13","9.925809790640652E13","8.607124724012102E13","9.789835465164854E12","9.925809790640652E13"
"1","337","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""1047789410""","5.429999999999274E13","1.029073855464111E14","8.805376784514131E13","1.214640898952721E13","1.029073855464111E14"
"1","338","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""-794102242""","5.539999999999274E13","9.732759115480988E13","8.49712447112319E13","9.780923378943395E12","9.732759115480988E13"
"1","339","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""1777929436""","5.839999999999274E13","1.0270705915368089E14","8.957090276585131E13","1.1071798796774477E13","1.0242431351977767E14"
"1","340","500","5000","26","11","0.9697","42.0001","0.3911","0.7986000000000001","1970","1944","1","1944","12","3579","true","""-1850067255""","5.559999999999274E13","95913815480346","8.320776078366578E13","9.47849731158881E12","95913815480346"
"1","341","500","5000","6","31","0.4183","44.0001","0.5313","0.5477000000000001","1970","1944","1","1944","12","693","true","""-1268556370""","5.679999999999274E13","1.0390692950904516E14","8.39913107575786E13","1.4811524114003232E13","1.0390692950904516E14"
